Q_TotalDuration,Q1.1,Q1.1_TEXT,Q1.2,Q1.3,Q1.4,Q1.5,Q1.6,Q7.1_1,Q7.1_2,Q7.1_3,Q7.1_4,Q7.1_5,Q7.1_6,Q7.1_7,Q7.1_8,Q7.2_1,Q7.2_2,Q7.2_3,Q7.2_4,Q7.2_5,Q7.2_6,Q7.2_7,Q7.2_8,Q14.1,Q14.2,Q14.3,Q14.4_1,Q14.4_2,Q14.4_3,Q14.4_4,Q14.4_5,Q14.4_6,Q14.4_7,Q14.5_1,Q14.5_2,Q14.5_3,Q14.5_4,Q14.5_5,Q14.5_6,Q14.5_7,Q14.5_8,Q14.5_9,Q14.5_10,Q15.1,Cluster_3
2389,2, ,3,1,5,4,1,2,2,2,1,2,1,1,2,47,46,-17,35,28,36,15,18,1,3,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2
899,1, ,4,3,3,5,5,2,2,1,2,1,1,2,2,27,14,19,21,33,29,25,23,2,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,2,1
1408,2, ,2,1,5,4,1,1,2,1,1,2,1,2,2,50,36,-22,34,25,48,13,-24,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,2
1166,2, ,2,2,3,5,2,2,2,1,1,1,1,2,2,9,41,-14,48,20,46,-9,17,1,4,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2
1471,1, ,6,3,6,5,4,2,2,1,1,2,2,2,2,9,34,-7,34,42,42,10,29,2,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,2
1308,2, ,3,3,6,5,3,2,1,1,1,1,1,1,2,22,25,-6,24,31,12,9,11,2,4,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,3
1157,2, ,4,1,3,5,4,2,2,2,2,2,2,2,2,14,30,24,22,26,32,33,-5,2,4,3,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,4,2
4153,1, ,5,1,6,5,5,2,1,2,1,1,1,2,2,48,45,43,48,44,50,43,42,1,5,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1
1669,1, ,4,1,6,5,4,1,1,1,1,1,1,1,2,21,15,15,13,17,7,24,28,3,4,2,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,4,3
3002,2, ,3,3,6,5,3,1,1,1,1,1,1,2,2,12,48,9,48,50,50,19,0,2,3,3,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,3,2
